ID,Shape_Elongation,Shape_MajorAxisLength,Shape_MaximumDiameter,Shape_MeshSurface,Shape_MinorAxisLength,Shape_Perimeter,Shape_PerimeterSurfaceRatio,Shape_PixelSurface,Shape_Sphericity,Hist_10Percentile,Hist_90Percentile,Hist_Energy,Hist_Entropy,Hist_InterquartileRange,Hist_Kurtosis,Hist_Maximum,Hist_MeanAbsoluteDeviation,Hist_Mean,Hist_Median,Hist_Minimum,Hist_Range,Hist_RobustMeanAbsoluteDeviation,Hist_RootMeanSquared,Hist_Skewness,Hist_TotalEnergy,Hist_Uniformity,Hist_Variance,GLCM_Autocorrelation,GLCM_ClusterProminence,GLCM_ClusterShade,GLCM_ClusterTendency,GLCM_Contrast,GLCM_Correlation,GLCM_DifferenceAverage,GLCM_DifferenceEntropy,GLCM_DifferenceVariance,GLCM_Id,GLCM_Idm,GLCM_Idmn,GLCM_Idn,GLCM_Imc1,GLCM_Imc2,GLCM_InverseVariance,GLCM_JointAverage,GLCM_JointEnergy,GLCM_JointEntropy,GLCM_MCC,GLCM_MaximumProbability,GLCM_SumAverage,GLCM_SumEntropy,GLCM_SumSquares,GLSZM_GrayLevelNonUniformity,GLSZM_GrayLevelNonUniformityNormalized,GLSZM_GrayLevelVariance,GLSZM_HighGrayLevelZoneEmphasis,GLSZM_LargeAreaEmphasis,GLSZM_LargeAreaHighGrayLevelEmphasis,GLSZM_LargeAreaLowGrayLevelEmphasis,GLSZM_LowGrayLevelZoneEmphasis,GLSZM_SizeZoneNonUniformity,GLSZM_SizeZoneNonUniformityNormalized,GLSZM_SmallAreaEmphasis,GLSZM_SmallAreaHighGrayLevelEmphasis,GLSZM_SmallAreaLowGrayLevelEmphasis,GLSZM_ZoneEntropy,GLSZM_ZonePercentage,GLSZM_ZoneVariance
04bcbfd7491cb850f6f8a01a3c3c1361_R_CC.png,0.18502747,0.06869379,0.06991907,0.004018862,-0.0032876465,0.051610127,0.881704,0.004018862,0.5428198,0.41513515,0.9883212,0.0032134666,0.7664104,0.4432624,0.0848821,1.0,0.49887198,0.68279135,0.70731705,0.36633664,0.63366336,0.450663,0.7055765,0.5720284,0.0032134666,0.03650381,0.3484594,0.51348376,0.4190781,0.50734895,0.44469425,0.41208264,0.73254085,0.54053813,0.72924453,0.36044163,0.19624597,0.1716163,0.5589002,0.4417689,0.033169754,0.9992512,0.22294152,0.57630765,0.02182533,0.5075833,0.85168886,0.09884762,0.57630765,0.67966926,0.46205103,0.00015242408,0.0936438,0.4928774,0.50772446,0.028667662,0.04652091,0.011260602,0.46853417,0.004266938,0.69627976,0.7534393,0.5157262,0.46877992,0.5758788,0.84583884,0.01786164
0e724925c58d762192f1520471ca16e1_R_CC.png,0.31209588,0.16245636,0.18104671,0.031400707,0.08419759,0.15327352,0.32818812,0.031400707,0.6855341,0.49135137,0.8832117,0.031476725,0.9111998,0.35460994,0.056668293,1.0,0.3752993,0.6334889,0.6097561,0.43069306,0.5693069,0.354183,0.64409775,0.7193457,0.031476725,0.009058966,0.20671044,0.34554303,0.15826066,0.7480704,0.30563018,0.18051696,0.81685036,0.34230295,0.66438156,0.12602104,0.17038864,0.12866773,0.8012492,0.62648064,0.36742947,0.9939383,0.38317454,0.42769298,0.0027212673,0.7695361,0.7339684,0.018173026,0.42769298,0.9053595,0.30748597,0.02327563,0.037571672,0.30526173,0.3702767,0.011217008,0.021582095,0.0023110758,0.09648454,0.033119887,0.7877844,0.8371589,0.40386808,0.09669677,0.7932808,0.92156297,0.0056519783
112accee625e15fe60e48dd52afdbbcb_L_CC.png,0.54983085,0.42119986,0.4800048,0.11957454,0.44348657,0.5871492,0.2778625,0.11960133,0.114803635,0.10810811,0.890511,0.109046146,0.96787274,0.6524823,0.062885076,1.0,0.7482848,0.51066345,0.5884146,0.044554457,0.9554455,0.66994524,0.5665108,0.573912,0.109046146,0.004189591,0.684657,0.44944638,0.44515994,0.461367,0.5045262,0.33480802,0.80100864,0.4888435,0.7822954,0.27248213,0.12766315,0.0975292,0.6380128,0.48608947,0.59124047,0.96980536,0.456897,0.5063164,0.0005243659,0.9205743,0.6815168,0.0021280416,0.5063164,0.95921355,0.51632404,0.09132518,0.019041685,0.52904093,0.48929495,0.0041221506,0.022737687,0.0030256452,0.1219499,0.13302985,0.9037857,0.9276306,0.5479784,0.121058434,0.88115793,0.96672606,0.0017704971
1450d8b315129d9207bcbb2131eb7d31_R_CC.png,0.3065587,0.18847209,0.19908889,0.040027864,0.09913422,0.17475444,0.28233173,0.040027864,0.70397997,0.7189189,0.94160587,0.05360917,0.85967064,0.23404256,0.17331126,1.0,0.22767173,0.80139095,0.80487806,0.55445546,0.44554454,0.22395188,0.80476564,0.51770526,0.05360917,0.013598547,0.09712152,0.56626,0.10714003,0.6731875,0.15790357,0.49792078,0.36097503,0.63571554,0.8508268,0.40663594,0.07463014,0.049409337,0.4739298,0.3453907,0.54618657,0.96978474,0.2888636,0.6610198,0.0017938685,0.80557156,0.32592636,0.005337422,0.6610198,0.84304196,0.18223609,0.04036039,0.058285754,0.1736391,0.6399481,0.0025735754,0.027707152,0.003513917,0.14794755,0.04630899,0.9502424,0.96191084,0.7314098,0.14846997,0.6565474,0.9804024,0.0012345867
146078e6ec74effe3e2a62a47f2eddfc_R_CC.png,0.38635856,0.21992554,0.23146203,0.06280141,0.15593633,0.22062339,0.20787896,0.06280141,0.7471148,0.25405404,0.8540146,0.05201179,0.96912044,0.53900707,0.046706427,1.0,0.5745171,0.49570134,0.4817073,0.20792079,0.7920792,0.52747446,0.5274948,0.7097547,0.05201179,0.0030460015,0.42755085,0.29605237,0.22997124,0.74101037,0.38540423,0.70677096,0.5192475,0.82951695,0.9471397,0.52776533,0.051783673,0.044985615,0.25391814,0.1607761,0.5181492,0.9836938,0.28859532,0.36799994,0.0005696036,0.8913904,0.3689629,0.0023839518,0.36799994,0.9573188,0.4233462,0.04319049,0.015770074,0.41769212,0.3419748,0.0023957621,0.015070414,0.002745778,0.11504963,0.071518235,0.93140113,0.9496868,0.3860615,0.11533345,0.8558327,0.9789776,0.00089324685
1da5e2e33cf1147ef5fb7460634e0ac9_R_CC.png,0.4684093,0.091054276,0.09549387,0.018272426,0.07446374,0.09191424,0.38058347,0.018272426,0.8593331,0.5783784,0.8029197,0.018348489,0.9070805,0.24113475,0.073442675,0.82758623,0.24041249,0.663766,0.652439,0.6138614,0.31188118,0.24300703,0.66545737,0.63915277,0.018348489,0.008234934,0.100808844,0.35438785,0.21377677,0.66945684,0.33339593,0.40142304,0.6702649,0.58263993,0.7939959,0.29061794,0.07513523,0.051688217,0.56648606,0.38829884,0.28280464,0.9970036,0.36322698,0.435109,0.0030941372,0.726658,0.6274274,0.0032995553,0.435109,0.87035793,0.35042042,0.011214617,0.035324328,0.36844695,0.3857902,0.0009260054,0.016075706,0.004647531,0.19513483,0.022055339,0.9732827,0.98055303,0.4423412,0.19564463,0.7315582,0.99181664,0.00034789418
2486fafb68786b7f8ed662783ee25a49_L_CC.png,0.24845098,0.31649485,0.34410286,0.08246704,0.14653912,0.29662153,0.20337033,0.08246704,0.5836373,0.5783784,0.96350366,0.10162394,0.82016784,0.33333334,0.26159158,1.0,0.39095572,0.7305384,0.75,0.11386139,0.8861386,0.34250668,0.7461216,0.41237888,0.10162394,0.021301653,0.26030025,0.68025744,0.16275725,0.6210599,0.15357848,0.09148607,0.8090668,0.18439579,0.55195713,0.08196144,0.26872087,0.21633698,0.89926964,0.79654276,0.5877033,0.9526961,0.6635495,0.7548835,0.0050262404,0.7849037,0.8292639,0.04716887,0.7548835,0.8182174,0.14983284,0.0973316,0.077044584,0.14155675,0.73888487,0.018651268,0.046442356,0.0038012192,0.043534633,0.084002644,0.7758384,0.8212732,0.8018303,0.015155956,0.66645336,0.89276904,0.011362145
269a9c5817814c1b918ecacda31d427c_L_CC.png,0.47802538,0.9220294,0.9981807,0.95876646,0.85645294,1.4940308,0.039174363,0.95890045,0.25691634,0.32972974,0.8540146,0.9579717,0.8658359,0.4397163,0.25729555,1.0,0.58647615,0.5651366,0.63414633,0.004950495,0.9950495,0.4395763,0.6086564,0.35813013,0.9579717,0.014744201,0.5693329,0.5191839,0.67265475,0.29610142,0.3789285,0.017892767,0.9613735,0.065815404,0.42813498,0.014392111,0.36115173,0.3020244,0.9799887,0.92254186,0.66900384,0.92580247,0.7427641,0.5865945,0.0067713424,0.86495644,0.9791959,0.07520146,0.5865945,0.8606479,0.36927682,0.9761141,0.054515168,0.13798413,0.62024426,0.11054965,0.033842407,1.9671247,0.2250059,0.90471166,0.7040681,0.7670807,0.67529446,0.047185905,0.78718555,0.8208646,0.11109156
387aa7aa83525008e52e109531fe35fe_L_CC.png,0.20448335,0.23723407,0.24990308,0.041796163,0.081406206,0.21275352,0.32422173,0.041796163,0.5194632,0.54594594,0.84671533,0.046174023,0.892202,0.28368795,0.12570156,0.8965517,0.3025816,0.6830806,0.7012195,0.45049506,0.5049505,0.2781868,0.6896421,0.52187943,0.046174023,0.013309687,0.15523921,0.4897668,0.171687,0.6093329,0.23848876,0.3713501,0.60651416,0.55437183,0.8103057,0.26752356,0.10635935,0.082367234,0.5974122,0.4156073,0.49234688,0.9818553,0.31287062,0.58076274,0.0018673704,0.80618733,0.7243475,0.007057451,0.58076274,0.88005304,0.2537795,0.03976769,0.05358386,0.26573244,0.5423725,0.0063623725,0.025570825,0.0019684413,0.08101527,0.045658007,0.8485778,0.8861305,0.6057814,0.08089657,0.74599946,0.9494138,0.0027351219
387aa7aa83525008e52e109531fe35fe_R_CC.png,0.438211,0.25657016,0.26444998,0.09066553,0.21148431,0.26436365,0.15712146,0.09066553,0.79086614,0.74594593,1.0,0.13590282,0.68512064,0.2287234,0.22591157,1.0,0.22799854,0.8706258,0.89634144,0.3910891,0.6089109,0.22757758,0.8751707,0.42052156,0.13590282,0.07465365,0.09834635,0.8209423,0.035851147,0.6899528,0.07751327,0.092889056,0.72226125,0.16101533,0.53573376,0.1001381,0.37192425,0.32600564,0.8991732,0.8254009,0.6684556,0.8770864,0.5586962,0.87460077,0.032191806,0.69315594,0.59448546,0.16498989,0.87460077,0.7096423,0.07414109,0.15204205,0.15572368,0.06412747,0.8762189,0.058553208,0.09026816,0.0007781159,0.031368446,0.07790041,0.5670746,0.6380164,0.900307,0.031753838,0.5709935,0.7546175,0.041359946
39990d7da039240a5de01d68d3166d61_L_CC.png,0.37671593,0.66642207,0.8043287,0.38187227,0.49457565,1.008618,0.11522509,0.38195264,0.17591399,0.25405404,0.8759124,0.34681535,0.93201095,0.53900707,0.11584416,1.0,0.61176133,0.51728815,0.5243902,0.004950495,0.9950495,0.54470915,0.55609196,0.5916049,0.34681535,0.0051044347,0.5056333,0.4521238,0.25780714,0.62597084,0.31400824,0.0682225,0.90975845,0.1612337,0.53095096,0.053462382,0.2756987,0.22135861,0.92429847,0.8188825,0.67236954,0.93625546,0.63421214,0.5323786,0.0011478479,0.92666286,0.86074793,0.018584367,0.5323786,0.9285508,0.30807143,0.30350816,0.022818593,0.25531954,0.49529317,0.023545684,0.030549744,0.17916271,0.23726976,0.37831903,0.733819,0.79125386,0.53329766,0.11949,0.8814693,0.8818772,0.015928937
4152e212d727057984702e2dfbdee234_R_CC.png,0.39204344,0.30349332,0.3247474,0.11279605,0.22487745,0.29577008,0.13225703,0.11279605,0.8095064,0.68540543,1.0,0.15755242,0.7746912,0.29078013,0.16329673,1.0,0.2960711,0.81861055,0.83536583,0.41584158,0.5841584,0.2991584,0.82615244,0.4863739,0.15755242,0.05085896,0.14822221,0.7072262,0.11820982,0.6426381,0.17497045,0.11127147,0.802334,0.20913382,0.58105576,0.10206483,0.31287873,0.26710933,0.87776273,0.7714998,0.63832855,0.92178404,0.50223243,0.7746193,0.022683537,0.76281524,0.7447038,0.14034015,0.7746193,0.79849726,0.17251468,0.14497015,0.09691653,0.16538326,0.7446162,0.05118795,0.07751171,0.00071320805,0.026982084,0.10427032,0.6716872,0.73051715,0.78315103,0.026905784,0.6888615,0.80336463,0.039157268
44c63ecd23616c4fce7e817470401d5d_L_CC.png,0.37952793,0.086594686,0.09549387,0.0131282825,0.04976223,0.08386803,0.48776472,0.0131282825,0.734917,0.6108108,0.99270076,0.01763028,0.78402627,0.31205675,0.14092872,1.0,0.34906405,0.81238765,0.85365856,0.5,0.5,0.3259154,0.82357484,0.4564714,0.01763028,0.038628608,0.19689134,0.6778618,0.3655754,0.45571584,0.34892642,0.27485073,0.7691193,0.3173554,0.6364131,0.32576168,0.33211523,0.30092046,0.7110011,0.67900825,0.21991426,0.9961683,0.7172217,0.73169285,0.020491866,0.5943803,0.8559751,0.11095622,0.73169285,0.7456798,0.35714546,0.01186552,0.092709325,0.36983946,0.69786733,0.038774706,0.06405972,0.0050602863,0.20895967,0.012412672,0.6502159,0.7149767,0.7217732,0.20895682,0.6465363,0.8164834,0.026209459
4d7251459f544291749639dd9265b804_L_CC.png,0.33692488,0.15393522,0.16931273,0.031025613,0.0871325,0.14189446,0.31065115,0.031025613,0.7616836,0.7945946,1.0,0.047696263,0.6699041,0.15248227,0.43789822,1.0,0.21284994,0.8880833,0.9207317,0.509901,0.490099,0.15543136,0.89502716,0.17152229,0.047696263,0.08426325,0.12750624,0.84560007,0.21426924,0.5443482,0.13649444,0.2525399,0.59093314,0.22436823,0.53606707,0.35756066,0.39512327,0.3487003,0.7463035,0.78435236,0.50177526,0.95307016,0.649693,0.888218,0.031546127,0.6033316,0.6989177,0.15550135,0.888218,0.67349464,0.1439434,0.05946067,0.19551674,0.24326272,0.8907178,0.052736383,0.08520305,0.005373333,0.22266608,0.02601966,0.5062719,0.58790594,0.90139824,0.22293645,0.5278255,0.75549537,0.034646038
